Label,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,# Trading Days
StratESG,12.36%,13.74%,15.16%,0.635,0.637,-7.73%,1.778,51.32%,228
SPY,14.46%,16.10%,12.12%,0.929,0.933,-8.88%,1.812,54.39%,228
HAPI,13.83%,15.39%,11.75%,0.903,0.929,-8.12%,1.895,54.82%,228
