Label,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,# Trading Days
StratESG,306.11%,15.10%,19.98%,0.584,0.494,-35.57%,0.424,55.73%,2512
SPY,259.49%,13.70%,17.90%,0.561,0.483,-33.72%,0.406,55.21%,2512
